"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","D-2","PA14","PAO1","SF416"
"PA3782","","","4","4","1","1","5892","","","","953","953","953","NNL25_RS06030","PA14_15150","PA3782","QLX61_RS06025"
"NNL25_RS15470","","","4","4","1","1","314","","","","1424","1424","1424","NNL25_RS15470","PA14_38250","PA2032","QLX61_RS15685"
"ospR","","","4","4","1","1","4822","","","","491","491","491","NNL25_RS10840","PA14_27530","PA2825","QLX61_RS10875"
"PA14_11620","","","4","4","1","1","6168","","","","926","926","926","NNL25_RS04740","PA14_11620","PA4037","QLX61_RS04725"
"PA4772","","","4","4","1","1","2222","","","","2816","2816","2816","NNL25_RS25430","PA14_63100","PA4772","QLX61_RS25280"
"qscR","","","4","4","1","1","558","","","","713","713","713","NNL25_RS16140","PA14_39980","PA1898","QLX61_RS16370"
"QLX61_RS21365","","","4","4","1","1","723","","","","461","461","461","NNL25_RS21430","PA14_52430","PA0915","QLX61_RS21365"
"carB","","","4","4","1","1","2238","","","","3221","3221","3221","NNL25_RS25350","PA14_62910","PA4756","QLX61_RS25200"
"NNL25_RS25660","","","4","4","1","1","2167","","","","494","494","494","NNL25_RS25660","PA14_63680","PA4817","QLX61_RS25555"
"PA1236","","","4","4","1","1","3095","","","","1511","1511","1511","NNL25_RS19550","PA14_48300","PA1236","QLX61_RS19710"
"amiC","","","4","4","1","1","5448","","","","1157","1157","1157","NNL25_RS08070","PA14_20580","PA3364","QLX61_RS08105"
"kdpE","","","4","4","1","1","2694","","","","692","692","692","NNL25_RS17500","PA14_43340","PA1637","QLX61_RS17730"
"cobU","","","4","4","1","1","3042","","","","521","521","521","NNL25_RS19330","PA14_47680","PA1278","QLX61_RS19460"
"NNL25_RS16020","","","4","4","1","1","581","","","","2027","2027","2027","NNL25_RS16020","PA14_39690","PA1920","QLX61_RS16245"
"yegS","","","4","4","1","1","5023","","","","908","908","908","NNL25_RS09830","PA14_24970","PA3023","QLX61_RS09865"
"speE","","","4","4","1","1","2642","","","","860","860","860","NNL25_RS17235","PA14_42690","PA1687","QLX61_RS17465"
"QLX61_RS25595","","","4","4","1","1","2159","","","","776","776","776","NNL25_RS25700","PA14_63780","PA4824","QLX61_RS25595"
"thiC","","","4","4","1","1","2006","","","","1883","1883","1883","NNL25_RS26455","PA14_65740","PA4973","QLX61_RS26350"
"cyaY","","","4","4","1","1","1695","","","","335","335","335","NNL25_RS28030","PA14_69640","PA5275","QLX61_RS27985"
"QLX61_RS04290","","","4","4","1","1","6251","","","","779","779","779","NNL25_RS04305","PA14_10640","PA4122","QLX61_RS04290"
"PA3321","","","4","4","1","1","5405","","","","914","914","914","NNL25_RS08285","PA14_21080","PA3321","QLX61_RS08320"
"PA14_61870","","","4","4","1","1","2322","","","","1238","1238","1238","NNL25_RS24910","PA14_61870","PA4677","QLX61_RS24755"
"dusA","","","4","4","1","1","4781","","","","998","998","998","NNL25_RS11045","PA14_27980","PA2795","QLX61_RS11080"
"NNL25_RS01520","","","4","4","1","1","6820","","","","698","698","698","NNL25_RS01520","PA14_04050","PA0310","QLX61_RS01650"
"NNL25_RS16060","","","4","4","1","1","573","","","","680","680","680","NNL25_RS16060","PA14_39790","PA1913","QLX61_RS16285"
"PA14_03610","","","4","4","1","1","6854","","","","758","758","758","NNL25_RS01350","PA14_03610","PA0277","QLX61_RS01480"
"dgcB","","","4","4","1","1","1567","","","","1961","1961","1961","NNL25_RS28675","PA14_71280","PA5399","QLX61_RS28630"
"hxcR","","","4","4","1","1","1312","","","","1409","1409","1409","NNL25_RS22640","PA14_55440","PA0686","QLX61_RS22560"
"QLX61_RS28425","","","4","4","1","1","1605","","","","899","899","899","NNL25_RS28470","PA14_70780","PA5363","QLX61_RS28425"
"PA14_63820","","","4","4","1","1","2157","","","","218","218","218","NNL25_RS25710","PA14_63820","PA4826","QLX61_RS25605"
"QLX61_RS17045","","","4","4","1","1","2558","","","","1010","1010","1010","NNL25_RS16815","PA14_41650","PA1771","QLX61_RS17045"
"QLX61_RS01335","","","4","4","1","1","1219","","","","434","434","434","NNL25_RS01245","PA14_03090","PA0250","QLX61_RS01335"
"PA3969","","","4","4","1","1","6099","","","","1085","1085","1085","NNL25_RS05080","PA14_12530","PA3969","QLX61_RS05065"
"QLX61_RS07525","","","4","4","1","1","5564","","","","1694","1694","1694","NNL25_RS07515","PA14_19190","PA3471","QLX61_RS07525"
"potB","","","4","4","1","1","5684","","","","893","893","893","NNL25_RS06920","PA14_17630","PA3608","QLX61_RS06935"
"PA2063","","","4","4","1","1","284","","","","1223","1223","1223","NNL25_RS15310","PA14_37820","PA2063","QLX61_RS15540"
"narJ","","","4","4","1","1","5994","","","","740","740","740","NNL25_RS05570","PA14_13810","PA3873","QLX61_RS05585"
"eagT6","","","4","4","1","1","1059","","","","434","434","434","NNL25_RS00500","PA14_01150","PA0094","QLX61_RS00590"
"xcpV","","","4","4","1","1","5106","","","","389","389","389","NNL25_RS09445","PA14_24050","PA3099","QLX61_RS09480"
"QLX61_RS01625","","","4","4","1","1","6825","","","","1052","1052","1052","NNL25_RS01495","PA14_04000","PA0306","QLX61_RS01625"
"urtB","","","4","4","1","1","2124","","","","953","1589","1430","NNL25_RS25875","PA14_64280","PA4859","QLX61_RS25770"
"nirJ","","","4","4","1","1","6611","","","","1163","1163","1163","NNL25_RS02550","PA14_06670","PA0511","QLX61_RS02675"
"group_5651","alr","","4","4","1","1","1667","","","","1073","1073","1073","NNL25_RS28165","PA14_69990","PA5302","QLX61_RS28120"
"group_5652","tadA","","4","4","1","1","3822","","","","1265","1265","1265","NNL25_RS22860","PA14_55890","PA4302","QLX61_RS22780"
"QLX61_RS11010","","","4","4","1","1","4795","","","","680","680","680","NNL25_RS10975","PA14_27810","PA2809","QLX61_RS11010"
"PA1405","","","4","4","1","1","2950","","","","1592","1592","1592","NNL25_RS18680","PA14_46270","PA1405","QLX61_RS19330"
"PA4769","","","4","4","1","1","2225","","","","773","773","773","NNL25_RS25415","PA14_63070","PA4769","QLX61_RS25265"
"fleR","","","4","4","1","1","2394","","","","1415","1421","1419","NNL25_RS20250","PA14_50180","PA1099","QLX61_RS20415"
"PA2817","","","4","4","1","1","4803","","","","410","410","410","NNL25_RS10935","PA14_27710","PA2817","QLX61_RS10970"
"hitB","","","4","4","1","1","2311","","","","1538","1538","1538","NNL25_RS24965","PA14_62010","PA4688","QLX61_RS24810"
"mqoA","","","4","4","1","1","5544","","","","1571","1571","1571","NNL25_RS07610","PA14_19470","PA3452","QLX61_RS07630"
"QLX61_RS25820","","","4","4","1","1","2114","","","","1217","1367","1292","NNL25_RS25925","PA14_64400","PA4869","QLX61_RS25820"
"NNL25_RS15835","","","4","4","1","1","388","","","","935","935","935","NNL25_RS15835","PA14_39160","PA1961","QLX61_RS16060"
"tagR","","","4","4","1","1","1036","","","","1712","1712","1712","NNL25_RS00385","PA14_00830","PA0071","QLX61_RS00475"
"ptsP","","","4","4","1","1","5635","","","","2870","2870","2870","NNL25_RS07160","PA14_18250","PA3562","QLX61_RS07170"
"PA3931","","","4","4","1","1","6058","","","","779","779","779","NNL25_RS05270","PA14_13010","PA3931","QLX61_RS05285"
"mvaT","","","4","4","1","1","3808","","","","374","374","374","NNL25_RS22930","PA14_56070","PA4315","QLX61_RS22850"
"PA1312","","","4","4","1","1","2528","","","","911","911","911","NNL25_RS19160","PA14_47270","PA1312","QLX61_RS18650"
"hisC1","","","4","4","1","1","3674","","","","1055","1055","1055","NNL25_RS23605","PA14_57770","PA4447","QLX61_RS23525"
"QLX61_RS23335","","","4","4","1","1","3712","","","","959","959","959","NNL25_RS23415","PA14_57320","PA4410","QLX61_RS23335"
"PA14_65940","","","4","4","1","1","1992","","","","1946","1946","1946","NNL25_RS26530","PA14_65940","PA4986","QLX61_RS26420"
"PA14_37320","","","4","4","1","1","237","","","","476","476","476","NNL25_RS15110","PA14_37320","PA2109","QLX61_RS15345"
"NNL25_RS25930","","","4","4","1","1","2113","","","","266","266","266","NNL25_RS25930","PA14_64410","PA4870","QLX61_RS25825"
"hisQ","","","4","4","1","1","4922","","","","689","689","689","NNL25_RS10340","PA14_26230","PA2924","QLX61_RS10375"
"PA14_29220","","","4","4","1","1","4623","","","","1307","1307","1307","NNL25_RS11605","PA14_29220","PA2700","QLX61_RS11980"
"NNL25_RS19930","","","4","4","1","1","2461","","","","383","383","383","NNL25_RS19930","PA14_49400","PA1160","QLX61_RS20090"
"purD","","","4","4","1","1","2128","","","","1289","1289","1289","NNL25_RS25855","PA14_64220","PA4855","QLX61_RS25750"
"QLX61_RS01185","","","4","4","1","1","1188","","","","1433","1433","1433","NNL25_RS01095","PA14_02690","PA0220","QLX61_RS01185"
"czcC","","","4","4","1","1","4386","","","","1286","1286","1286","NNL25_RS12990","PA14_31970","PA2522","QLX61_RS12925"
"PA4142","","","4","4","1","1","6271","","","","1256","1256","1256","NNL25_RS04205","PA14_10350","PA4142","QLX61_RS04190"
"PA1204","","","4","4","1","1","3131","","","","557","557","557","NNL25_RS19710","PA14_48740","PA1204","QLX61_RS19870"
"folE1","","","4","4","1","1","5529","","","","560","560","560","NNL25_RS07685","PA14_19630","PA3438","QLX61_RS07705"
"trmB","","","4","4","1","1","6745","","","","671","671","671","NNL25_RS01895","PA14_05000","PA0382","QLX61_RS02025"
"NNL25_RS25955","","","4","4","1","1","2107","","","","296","539","417","NNL25_RS25955","PA14_64470","PA4875","QLX61_RS25850"
"pcpS","","","4","4","1","1","2466","","","","728","728","728","NNL25_RS19905","PA14_49340","PA1165","QLX61_RS20065"
"aruC","","","4","4","1","1","702","","","","1220","1220","1220","NNL25_RS21545","PA14_52720","PA0895","QLX61_RS21480"
"PA14_16340","","","4","4","1","1","5792","","","","803","803","803","NNL25_RS06385","PA14_16340","PA3715","QLX61_RS06400"
"feaR","","","4","4","1","1","6201","","","","950","950","950","NNL25_RS04575","PA14_11240","PA4070","QLX61_RS04560"
"PA0882","","","4","4","1","1","3196","","","","1202","1202","1202","NNL25_RS21610","PA14_52870","PA0882","QLX61_RS21545"
"amiB","","","4","4","1","1","2032","","","","1427","1427","1427","NNL25_RS26325","PA14_65370","PA4947","QLX61_RS26220"
"PA14_19500","","","4","4","1","1","5541","","","","1001","1004","1001","NNL25_RS07625","PA14_19500","PA3449","QLX61_RS07645"
"QLX61_RS17830","","","4","4","1","1","2714","","","","1667","1667","1667","NNL25_RS17600","PA14_43610","PA1617","QLX61_RS17830"
"hpaB","","","4","4","1","1","6221","","","","1562","1562","1562","NNL25_RS04470","PA14_11000","PA4091","QLX61_RS04455"
"pppA","","","4","4","1","1","1040","","","","728","728","728","NNL25_RS00405","PA14_00890","PA0075","QLX61_RS00495"
"PA4896","","","4","4","1","1","2086","","","","536","536","536","NNL25_RS26060","PA14_64700","PA4896","QLX61_RS25955"
"alkB","","","4","4","1","1","5390","","","","602","602","602","NNL25_RS08360","PA14_21250","PA3306","QLX61_RS08395"
"cobJ","","","4","4","1","1","4901","","","","1679","1679","1679","NNL25_RS10445","PA14_26530","PA2903","QLX61_RS10480"
"QLX61_RS21965","","","4","4","1","1","3279","","","","440","440","440","NNL25_RS22020","PA14_53860","PA0803","QLX61_RS21965"
"QLX61_RS23665","","","4","4","1","1","3646","","","","848","848","848","NNL25_RS23745","PA14_58080","PA4475","QLX61_RS23665"
"QLX61_RS20270","","","4","4","1","1","2423","","","","752","752","752","NNL25_RS20105","PA14_49820","PA1125","QLX61_RS20270"
"grpE","","","4","4","1","1","2232","","","","560","560","560","NNL25_RS25380","PA14_62990","PA4762","QLX61_RS25230"
"bdhA","","","4","4","1","1","345","","","","770","770","770","NNL25_RS15620","PA14_38590","PA2003","QLX61_RS15845"
"ampD","","","4","4","1","1","3597","","","","566","566","566","NNL25_RS23980","PA14_58670","PA4522","QLX61_RS23900"
"PA14_05580","","","4","4","1","1","6697","","","","1070","1070","1070","NNL25_RS02135","PA14_05580","PA0429","QLX61_RS02265"
"cbpD","","","4","4","1","1","3227","","","","1169","1169","1169","NNL25_RS21765","PA14_53250","PA0852","QLX61_RS21705"
"PA14_65030","","","4","4","1","1","2058","","","","695","695","695","NNL25_RS26200","PA14_65030","PA4924","QLX61_RS26095"
"glgA","","","4","4","1","1","175","","","","1541","1541","1541","NNL25_RS14805","PA14_36570","PA2165","QLX61_RS15040"
"recD","","","4","4","1","1","3841","","","","2165","2165","2165","NNL25_RS22765","PA14_55660","PA4283","QLX61_RS22685"
"QLX61_RS11065","","","4","4","1","1","4784","","","","1184","1184","1184","NNL25_RS11030","PA14_27940","PA2798","QLX61_RS11065"
"pncB","","","4","4","1","1","2063","","","","1199","1199","1199","NNL25_RS26175","PA14_64960","PA4919","QLX61_RS26070"
"NNL25_RS12830","","","4","4","1","1","4418","","","","1127","1127","1127","NNL25_RS12830","PA14_31540","PA2552","QLX61_RS12765"
"glcB","","","4","4","1","1","6642","","","","2177","2177","2177","NNL25_RS02395","PA14_06290","PA0482","QLX61_RS02535"
"rlmF","","","4","4","1","1","5958","","","","1010","1010","1010","NNL25_RS05715","PA14_14340","PA3840","QLX61_RS05730"
"urtA","","","4","4","1","1","2125","","","","1265","1265","1265","NNL25_RS25870","PA14_64270","PA4858","QLX61_RS25765"
"QLX61_RS06135","","","4","4","1","1","5845","","","","1256","1256","1256","NNL25_RS06120","PA14_15700","PA3766","QLX61_RS06135"
"PA2044","","","4","4","1","1","303","","","","1874","1874","1874","NNL25_RS15405","PA14_38080","PA2044","QLX61_RS15635"
"PA14_65050","","","4","4","1","1","2056","","","","935","935","935","NNL25_RS26210","PA14_65050","PA4926","QLX61_RS26105"
"QLX61_RS05385","","","4","4","1","1","6034","","","","515","515","515","NNL25_RS05370","PA14_13320","PA3911","QLX61_RS05385"
"NNL25_RS17560","","","4","4","1","1","2706","","","","1067","1067","1067","NNL25_RS17560","PA14_43510","PA1625","QLX61_RS17790"
"bioA","","","4","4","1","1","6706","","","","1403","1403","1403","NNL25_RS02090","PA14_05460","PA0420","QLX61_RS02220"
"algX","","","4","4","1","1","5619","","","","1424","1424","1424","NNL25_RS07240","PA14_18480","PA3546","QLX61_RS07250"
"panB","","","4","4","1","1","2733","","","","821","821","821","NNL25_RS17695","PA14_43830","PA1598","QLX61_RS17925"
"ffh","","","4","4","1","1","5824","","","","1373","1373","1373","NNL25_RS06225","PA14_15960","PA3746","QLX61_RS06240"
"tag","","","4","4","1","1","973","","","","551","551","551","NNL25_RS00050","PA14_00110","PA0010","QLX61_RS00085"
"PA4009","","","4","4","1","1","6139","","","","857","857","857","NNL25_RS04880","PA14_11980","PA4009","QLX61_RS04865"
"PA14_34800","","","4","4","1","1","4128","","","","617","617","617","NNL25_RS14110","PA14_34800","PA2306","QLX61_RS14140"
"PA14_25400","","","4","4","1","1","4990","","","","722","722","722","NNL25_RS09995","PA14_25400","PA2990","QLX61_RS10030"
"alr","","","4","4","1","1","2052","","","","1076","1076","1076","NNL25_RS26230","PA14_65110","PA4930","QLX61_RS26125"
"QLX61_RS27685","","","4","4","1","1","1755","","","","914","914","914","NNL25_RS27725","PA14_68920","PA5218","QLX61_RS27685"
"PA0832","","","4","4","1","1","3249","","","","641","641","641","NNL25_RS21870","PA14_53510","PA0832","QLX61_RS21810"
"xylX","","","4","4","1","1","4383","","","","1367","1367","1367","NNL25_RS13010","PA14_32080","PA2518","QLX61_RS12945"
"pvdQ","","","4","4","1","1","4211","","","","2288","2288","2288","NNL25_RS13710","PA14_33820","PA2385","QLX61_RS13740"
"QLX61_RS26605","","","4","4","1","1","1953","","","","1460","1460","1460","NNL25_RS26715","PA14_66410","PA5023","QLX61_RS26605"
"NNL25_RS09045","","","4","4","1","1","5230","","","","437","437","437","NNL25_RS09045","PA14_23100","PA3180","QLX61_RS09085"
"QLX61_RS22290","","","4","4","1","1","3345","","","","1976","1976","1976","NNL25_RS22345","PA14_54700","PA0740","QLX61_RS22290"
"QLX61_RS27185","","","4","4","1","1","1838","","","","746","746","746","NNL25_RS27295","PA14_67860","PA5139","QLX61_RS27185"
"PA2096","","","4","4","1","1","250","","","","1034","1040","1035","NNL25_RS15140","PA14_37400","PA2096","QLX61_RS15375"
"hxcV","","","4","4","1","1","1318","","","","374","374","374","NNL25_RS22670","PA14_55500","PA0680","QLX61_RS22590"
"fimW","","","4","4","1","1","2021","","","","1463","1823","1733","NNL25_RS26380","PA14_65520","PA4958","QLX61_RS26275"
"PA14_51060","","","4","4","1","1","854","","","","476","476","476","NNL25_RS20675","PA14_51060","PA1026","QLX61_RS20785"
"pvdH","","","4","4","1","1","4242","","","","1409","1409","1409","NNL25_RS13575","PA14_33500","PA2413","QLX61_RS13600"
"NNL25_RS05950","","","4","4","1","1","5908","","","","1148","1148","1148","NNL25_RS05950","PA14_14940","PA3798","QLX61_RS05945"
"NNL25_RS05690","","","4","4","1","1","5966","","","","896","896","896","NNL25_RS05690","PA14_14280","PA3845","QLX61_RS05705"
"PA5247","","","4","4","1","1","1724","","","","482","482","482","NNL25_RS27880","PA14_69280","PA5247","QLX61_RS27835"
"PA14_10190","","","4","4","1","1","6287","","","","788","788","788","NNL25_RS04130","PA14_10190","PA4157","QLX61_RS04115"
"thiI","","","4","4","1","1","1859","","","","1454","1454","1454","NNL25_RS27190","PA14_67580","PA5118","QLX61_RS27080"
"QLX61_RS05040","","","4","4","1","1","6105","","","","647","647","647","NNL25_RS05055","PA14_12440","PA3973","QLX61_RS05040"
"PA4573","","","4","4","1","1","3504","","","","305","305","305","NNL25_RS24260","PA14_60520","PA4573","QLX61_RS24185"
"opuCA","","","4","4","1","1","6013","","","","1163","1163","1163","NNL25_RS05475","PA14_13580","PA3891","QLX61_RS05490"
"serB","","","4","4","1","1","2019","","","","1214","1289","1251","NNL25_RS26390","PA14_65560","PA4960","QLX61_RS26285"
"QLX61_RS09365","","","4","4","1","1","5129","","","","893","893","893","NNL25_RS09330","PA14_23730","PA3122","QLX61_RS09365"
"aroB","","","4","4","1","1","1938","","","","1106","1106","1106","NNL25_RS26790","PA14_66600","PA5038","QLX61_RS26680"
"NNL25_RS13100","","","4","4","1","1","4365","","","","1226","1226","1226","NNL25_RS13100","PA14_32330","PA2500","QLX61_RS13035"
"NNL25_RS05245","","","4","4","1","1","6063","","","","818","818","818","NNL25_RS05245","PA14_12960","PA3936","QLX61_RS05260"
"PA14_17650","","","4","4","1","1","5682","","","","716","716","716","NNL25_RS06930","PA14_17650","PA3606","QLX61_RS06945"
"PA4038","","","4","4","1","1","6169","","","","734","734","734","NNL25_RS04735","PA14_11610","PA4038","QLX61_RS04720"
"PA2210","","","4","4","1","1","127","","","","1325","1325","1325","NNL25_RS14565","PA14_36120","PA2210","QLX61_RS14800"
"eutB","","","4","4","1","1","6154","","","","1394","1394","1394","NNL25_RS04805","PA14_11770","PA4024","QLX61_RS04790"
"pumA","","","4","4","1","1","4096","","","","377","377","377","NNL25_RS14270","PA14_35160","PA2274","QLX61_RS14290"
"wspB","","","4","4","1","1","5784","","","","515","515","515","NNL25_RS06425","PA14_16440","PA3707","QLX61_RS06440"
"PA4962","","","4","4","1","1","2017","","","","536","536","536","NNL25_RS26400","PA14_65580","PA4962","QLX61_RS26295"
"PA4058","","","4","4","1","1","6189","","","","470","470","470","NNL25_RS04635","PA14_11370","PA4058","QLX61_RS04620"
